"","date","positives","total_tests","frac_pos","N.0-4","N.5-19","N.20-59","N.60+","N.unknown"
"1",2020-01-01,0,14,0,0,1,9,4,0
"2",2020-01-02,0,9,0,0,0,9,0,0
"3",2020-01-03,0,25,0,0,2,21,2,0
"4",2020-01-04,0,24,0,0,2,18,4,0
"5",2020-01-05,0,31,0,0,1,27,3,0
"6",2020-01-06,0,31,0,2,1,27,1,0
"7",2020-01-07,0,41,0,1,1,35,4,0
"8",2020-01-08,0,37,0,1,0,33,3,0
"9",2020-01-09,0,31,0,1,1,25,4,0
"10",2020-01-10,0,28,0,1,1,25,1,0
"11",2020-01-11,0,23,0,0,1,20,2,0
"12",2020-01-12,0,21,0,1,1,16,3,0
"13",2020-01-13,0,29,0,0,0,23,6,0
"14",2020-01-14,0,14,0,2,1,10,1,0
"15",2020-01-15,0,13,0,1,3,9,0,0
"16",2020-01-16,0,7,0,2,1,4,0,0
"17",2020-01-17,0,3,0,0,1,1,1,0
"18",2020-01-18,0,3,0,0,0,3,0,0
"19",2020-01-19,0,10,0,1,3,6,0,0
"20",2020-01-20,0,8,0,1,1,6,0,0
"21",2020-01-21,0,14,0,0,1,13,0,0
"22",2020-01-22,0,27,0,2,0,23,2,0
"23",2020-01-23,0,34,0,2,3,26,3,0
"24",2020-01-24,0,24,0,4,1,17,2,0
"25",2020-01-25,0,25,0,0,2,22,1,0
"26",2020-01-26,0,33,0,1,3,24,5,0
"27",2020-01-27,0,34,0,1,9,22,2,0
"28",2020-01-28,0,20,0,0,4,13,3,0
"29",2020-01-29,0,32,0,2,5,19,6,0
"30",2020-01-30,0,27,0,3,1,22,1,0
"31",2020-01-31,0,25,0,2,4,19,0,0
"32",2020-02-01,0,24,0,0,6,17,1,0
"33",2020-02-02,0,23,0,0,4,19,0,0
"34",2020-02-03,0,19,0,0,3,13,2,1
"35",2020-02-04,0,35,0,1,4,26,4,0
"36",2020-02-05,0,18,0,1,3,14,0,0
"37",2020-02-06,0,27,0,2,0,25,0,0
"38",2020-02-07,0,21,0,1,0,19,1,0
"39",2020-02-08,0,11,0,1,1,9,0,0
"40",2020-02-09,0,13,0,0,2,11,0,0
"41",2020-02-10,0,43,0,5,3,31,4,0
"42",2020-02-11,0,27,0,0,2,22,3,0
"43",2020-02-12,0,31,0,1,3,25,2,0
"44",2020-02-13,0,19,0,0,1,16,1,1
"45",2020-02-14,0,25,0,0,1,22,2,0
"46",2020-02-15,0,14,0,0,2,11,1,0
"47",2020-02-16,0,23,0,0,2,19,2,0
"48",2020-02-17,0,17,0,0,1,15,1,0
"49",2020-02-18,0,18,0,0,0,18,0,0
"50",2020-02-19,0,24,0,0,2,22,0,0
"51",2020-02-20,0,33,0,2,2,25,4,0
"52",2020-02-21,0,28,0,1,1,25,1,0
"53",2020-02-22,0,29,0,1,1,26,1,0
"54",2020-02-23,0,26,0,0,0,25,1,0
"55",2020-02-24,2,48,0.0416666666666667,2,7,34,5,0
"56",2020-02-25,0,16,0,0,0,15,1,0
"57",2020-02-26,1,40,0.025,2,2,33,3,0
"58",2020-02-27,0,52,0,2,3,42,5,0
"59",2020-02-28,0,26,0,2,1,20,3,0
"60",2020-02-29,1,43,0.0232558139534884,1,2,39,1,0
"61",2020-03-01,6,109,0.055045871559633,4,12,82,11,0
"62",2020-03-02,4,107,0.0373831775700935,5,8,85,8,1
"63",2020-03-03,0,139,0,3,6,122,7,1
"64",2020-03-04,3,125,0.024,5,5,109,6,0
"65",2020-03-05,3,93,0.032258064516129,1,11,76,5,0
"66",2020-03-06,2,83,0.0240963855421687,7,6,65,5,0
"67",2020-03-07,2,65,0.0307692307692308,3,5,47,10,0
"68",2020-03-08,1,67,0.0149253731343284,0,5,61,1,0
"69",2020-03-09,0,32,0,0,2,28,2,0
