"","puma_number","puma_name","positives","total_tests"
"1","5311601","Seattle City (Northwest)",4,480
"2","5311602","Seattle City (Northeast)",3,343
"3","5311603","Seattle City (Downtown)--Queen Anne & Magnolia",7,316
"4","5311604","Seattle City (Southeast)--Capitol Hill",3,292
"5","5311605","Seattle City (West)--Duwamish & Beacon Hill",2,242
"6","5311606","King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities",1,120
"7","5311607","King County (Northwest)--Redmond, Kirkland Cities, Inglewood & Finn Hill",1,56
"8","5311608","King County (Northwest Central)--Greater Bellevue City",0,92
"9","5311609","King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities",0,25
"10","5311610","King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway",0,35
"11","5311611","King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center",0,51
"12","5311612","King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island",0,25
"13","5311613","King County (Southwest Central)--Kent City",0,14
"14","5311614","King County (Southwest)--Auburn City & Lakeland",0,5
"15","5311615","King County (Southeast)--Maple Valley, Covington & Enumclaw Cities",1,10
"16","5311616","King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill",0,0
"17","5311701","Snohomish County (Southwest)--Edmonds, Lynnwood & Mountlake Terrace Cities",1,40
"18","5311702","Snohomish County (West Central)--Mukilteo & Everett (Southwest) Cities",1,33
"19","5311703","Snohomish County (Central)--Everett City (Central & East) & Eastmont",0,27
"20","5311704","Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs",1,39
"21","5311705","Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities",0,0
"22","5311706","Snohomish County (North)--Marysville & Arlington Cities",0,0
